symbol,coinbase_pair,start_date,end_date,days_covered,data_age_group,market_cap,market_cap_rank,market_cap_tier,categories,crypto_family,category_list,family_list,notes,consolidated_categories_list,consolidated_categories
NEAR,NEAR-USD,9/1/2022 16:00,7/30/2025 2:00,1063,Established,3333113818,28,Mid Cap,"Smart Contracts, dApps",NEAR ,"['Smart Contracts', 'dApps']",['NEAR'],,['Other / Specialized'],Other / Specialized
ETC,ETC-USD,8/8/2018 18:00,7/30/2025 1:00,2548,Legacy,3093864956,29,Mid Cap,Smart Contracts,Ethereum Classic,['Smart Contracts'],['Ethereum Classic'],,['Other / Specialized'],Other / Specialized
COMP,COMP-USD,6/23/2020 16:00,7/30/2025 1:00,1863,Legacy,3086514575,30,Mid Cap,"DeFi, Lending",Ethereum,"['DeFi', 'Lending']",['Ethereum'],,['DeFi'],DeFi
ICP,ICP-USD,5/10/2021 17:00,7/30/2025 2:00,1542,Established,3062632483,31,Mid Cap,"Layer-2, Scaling",Ethereum,"['Layer-2', 'Scaling']",['Ethereum'],,['Layer 2 / Scaling'],Layer 2 / Scaling
APT,APT-USD,10/19/2022 1:00,7/30/2025 0:00,1015,Established,3035227892,32,Mid Cap,"Web3, IP Management",Independent ,"['Web3', 'IP Management']",['Independent'],,['Other / Specialized'],Other / Specialized
ONDO,ONDO-USD,1/22/2024 18:00,7/30/2025 2:00,555,New,3022399879,33,Mid Cap,"Security, Monitoring",Ethereum,"['Security', 'Monitoring']",['Ethereum'],,"['Privacy & Security', 'Infrastructure & Data']","Privacy & Security, Infrastructure & Data"
JITOSOL,JITOSOL-USD,7/24/2025 16:00,7/30/2025 2:00,6,New,2849873245,34,Mid Cap,Liquid Staking,Ethereum,['Liquid Staking'],['Ethereum'],,['DeFi'],DeFi
ALGO,ALGO-USD,8/15/2019 16:00,7/30/2025 0:00,2176,Legacy,2769752654,35,Mid Cap,"Gaming, Deflationary Token",Arbitrum,"['Gaming', 'Deflationary Token']",['Arbitrum'],,['Gaming & Metaverse'],Gaming & Metaverse
MANTLE,MANTLE-USD,5/1/2025 16:00,7/30/2025 2:00,90,New,2536261321,36,Mid Cap,"DeFi, Governance",Ethereum,"['DeFi', 'Governance']",['Ethereum'],,['DeFi'],DeFi
ATOM,ATOM-USD,1/14/2020 18:00,7/30/2025 0:00,2024,Legacy,2224957018,37,Mid Cap,Liquid Staking,Solana,['Liquid Staking'],['Solana'],,['DeFi'],DeFi
